 Product , Size  ,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25
,, Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity 
Butter (Salted ) ,200 gm,"48,200 ","18,200 ","45,000 ","103,800 ","71,600 ","85,200 ","100,600 ","93,800 ","50,600 ","119,600 ","85,300 ","96,100 ","76,800 ","105,600 ","78,200 ","67,300 ","81,400 "
Butter (Unsalted) ,200 gm,100 ,,,0 ,"31,000 ","16,800 ","5,400 ",500 ,100 ,"15,700 ","16,800 ","17,300 ","10,200 ","10,400 ","10,400 ","12,300 ","11,900 "
Butter - Bulk  Staff,750g,900 ,"1,100 ","1,100 ","1,100 ","1,000 ","1,100 ","1,100 ","1,100 ","1,100 ","1,100 ","1,100 ","1,600 ","1,100 ","1,100 ","1,100 ","1,300 ","1,000 "
Processed Cheese ,200 gm,"4,000 ","3,000 ","4,000 ","2,000 ","2,000 ","3,000 ","3,000 ","2,000 ","1,000 ","3,000 ","3,000 ","5,000 ","2,000 ","1,800 ","3,500 ","1,100 ","1,900 "
Processed Cheese ,100 gm,"4,000 ","3,000 ","5,000 ","3,000 ","1,000 ","5,000 ","5,000 ","4,000 ","1,000 ","4,000 ","5,000 ","7,000 ","2,200 ","2,800 ","3,700 ","1,700 ","2,200 "
Processed cheese,50 gm,"4,000 ","3,000 ","4,000 ","2,000 ","1,000 ","5,000 ","5,000 ","4,000 ","1,000 ","4,000 ","5,000 ","6,000 ","2,200 ","2,800 ","4,400 ",500 ,"2,200 "
Cheese Spread,170 gm,"2,000 ","2,000 ","2,000 ","1,000 ",0 ,"4,000 ","1,000 ","3,000 ","1,000 ","2,000 ","2,000 ","2,000 ","2,000 ",100 ,"2,500 ",100 ,"1,200 "
M/ P  -F/Cream  ,400 gm,"21,000 ","90,000 ","136,000 ","131,000 ","380,000 ","449,000 ","581,000 ","359,000 ","413,000 ","693,000 ","335,000 ","414,000 ","185,200 ","229,800 ","248,400 ","243,600 ","524,800 "
M/P- Non Fat-     ,400 gm,0 ,0 ,0 ,"13,600 ","2,700 ","1,700 ","1,500 ","2,200 ",900 ,900 ,200 ,(100),"4,700 ","4,300 ","5,800 ","5,700 ","4,800 "
Milk  Powder   (Welfare),400 gm,"10,200 ","8,400 ","7,900 ","6,400 ","7,700 ","6,000 ","5,100 ","5,800 ","4,000 ","5,100 ","4,600 ","6,700 ","40,000 ","29,800 ","20,100 ",0 ,"10,000 "
Milk Powder  -(F/Cream),1 kg,0 ,0 ,0 ,0 ,0 ,"29,300 ","29,200 ","22,200 ","25,000 ","24,900 ","22,700 ","27,500 ","2,700 ","21,400 ","8,800 ","30,400 ","50,000 "
M/ Powder Highland Ela,400 gm,0 ,,0 ,0 ,"2,400 ","3,500 ","1,900 ","7,700 ",900 ,700 ,300 ,600 ,"12,100 ",900 ,0 ,0 ,
M/ P  -F/Cream  (Gold),400 gm,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"45,200 ","371,800 ","239,400 ","135,700 ","100,900 ","2,300 ","115,900 ","57,300 "
UHT Milk - Full Cream,900 ml,"1,400 ","28,000 ","52,500 ","18,500 ","51,500 ","193,600 ","203,100 ","212,300 ","213,600 ","235,300 ","182,000 ","255,900 ","223,300 ","240,300 ","269,500 ","275,800 ","287,600 "
UHT Milk - Full Cream,450 ml,"231,900 ","324,500 ","43,000 ","225,500 ","400,600 ","301,200 ","343,100 ","379,800 ","383,800 ","412,700 ","332,200 ","474,700 ","388,600 ","424,700 ","499,800 ","458,800 ","419,300 "
UHT Milk - Flaved,180ml,"901,900 ","956,500 ","1,149,400 ","945,500 ","1,299,000 ","1,592,000 ","2,013,000 ","2,277,900 ","2,070,000 ","2,268,800 ","2,042,200 ","1,986,600 ","1,935,600 ","2,191,200 ","2,528,800 ","2,445,100 ","2,135,700 "
